# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        16.97
1                        17.34
2                        17.54
4                        17.61
8                        17.62
16                       18.25
32                       17.65
64                       17.51
128                      17.62
256                      18.53
512                      20.55
1024                     21.81
2048                     26.63
4096                     37.11
8192                     58.65
16384                   125.56
32768                   230.69
65536                   443.45
131072                  812.78
262144                 1526.97
524288                 2903.69
1048576                5651.52
2097152               11136.12
4194304               22150.63
