# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         6.00
1                     30227.02
2                     28874.65
4                     29442.82
8                     31411.08
16                    31332.62
32                    32747.78
64                    27670.74
128                   28373.12
256                   29740.04
512                   30847.69
1024                  35050.52
2048                  48828.66
4096                  56162.91
8192                  66373.12
16384                 27711.22
32768                 42977.04
65536                 30253.82
131072               135883.61
262144               354097.77
524288               217845.93
1048576             1409416.74
