# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.73
1                      2411.41
2                      2385.01
4                      2382.38
8                      2393.91
16                     2408.65
32                     2448.83
64                     3341.15
128                    4441.74
256                    6006.47
512                    7093.80
1024                   7318.54
2048                   8963.90
4096                  12671.50
8192                  19335.24
16384                 33236.76
32768                105675.81
65536                179603.55
131072               358460.76
262144               694179.37
524288              1381543.02
1048576             2765401.58
