# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.62
1                      2755.65
2                      2757.88
4                      2935.25
8                      2776.84
16                     2854.11
32                     5216.08
64                     6629.47
128                    8336.55
256                    7095.80
512                   12202.94
1024                  17788.19
2048                  19437.19
4096                  22349.82
8192                  31940.73
16384                 75283.72
32768                140829.97
65536                230181.67
131072               440857.64
262144               985928.04
524288              1938481.48
1048576             3750909.25
