# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.81
1                       305.07
2                       312.46
4                       311.94
8                       322.86
16                      310.81
32                      336.66
64                     1383.34
128                    2664.54
256                    4387.99
512                    4876.72
1024                   5063.88
2048                   6466.64
4096                   9526.08
8192                  16850.56
16384                 32361.77
32768                 62375.71
65536                122546.43
131072               246958.87
262144               488878.56
524288               972534.42
1048576             1924322.35
