# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.90
1                     23423.37
2                     22504.63
4                     23575.48
8                     22676.55
16                    25091.61
32                    26073.47
64                    22788.02
128                   21247.86
256                   19767.66
512                   22953.75
1024                  20001.35
2048                  24064.02
4096                  26820.95
8192                  31437.72
16384                 13927.19
32768                 23878.52
65536                 31106.07
131072                51677.72
262144                93168.89
524288               191288.14
1048576              378893.47
