# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.47
1                       289.51
2                       281.96
4                       278.52
8                       279.83
16                      278.99
32                      281.82
64                      290.08
128                     301.57
256                    3892.46
512                    4038.59
1024                   6251.36
2048                   4321.33
4096                   4657.54
8192                   5716.44
16384                 56274.92
32768                 71699.30
65536                 83196.40
131072               111210.03
262144               156513.06
524288               264386.17
1048576              459862.28
