# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.72
1                      6687.08
2                      6717.49
4                      6498.76
8                      7168.74
16                     7388.90
32                    10041.06
64                    11140.83
128                   15190.63
256                   18355.35
512                   47695.55
1024                  66244.11
2048                  76163.18
4096                  89613.90
8192                 143950.60
16384                273439.11
32768                434844.12
65536                782328.02
131072              1595855.26
262144              3425118.42
524288              7141483.77
1048576            14319416.79
