# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         6.18
1                     28027.81
2                     25854.26
4                     27447.77
8                     30080.82
16                    29740.64
32                    30854.44
64                    26804.92
128                   26301.61
256                   28436.25
512                   27550.81
1024                  29625.03
2048                  47483.71
4096                  50593.68
8192                  57400.47
16384                 25555.55
32768                 32577.07
65536                 62519.22
131072               117753.97
262144               100391.19
524288               476552.50
1048576              900421.69
