# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.51
1                      5518.73
2                      5637.13
4                      5587.91
8                      5595.63
16                     5614.46
32                     6470.80
64                     7440.33
128                    9385.98
256                   11926.55
512                   14764.47
1024                  19022.36
2048                  26191.53
4096                  98973.64
8192                 136069.80
16384                232772.71
32768                358928.97
65536                646690.36
131072              1322584.47
262144              2547740.94
524288              5066988.86
1048576            10166640.32
