# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.75
1                       613.28
2                       614.06
4                       612.61
8                       616.26
16                      620.13
32                      651.62
64                     1531.08
128                    2918.93
256                    4927.76
512                    5225.41
1024                   6452.41
2048                   8597.14
4096                  13469.99
8192                  22759.03
16384                 43913.29
32768                 84669.84
65536                163923.27
131072               329465.17
262144               661201.21
524288              1356614.49
1048576             2729093.64
