# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.82
1                       505.55
2                       515.15
4                       507.05
8                       514.26
16                      506.35
32                      527.78
64                     1456.70
128                    2821.97
256                    4595.61
512                    5325.56
1024                   5594.47
2048                   7576.07
4096                  12496.79
8192                  20231.75
16384                 38311.50
32768                 75586.53
65536                142978.76
131072               281990.07
262144               576276.77
524288              1152190.96
1048576             2300100.74
