# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        35.09
1                     30361.67
2                     30291.41
4                     30355.69
8                     30380.28
16                    30390.29
32                    30770.83
64                    30770.97
128                   31160.47
256                   52475.55
512                   56381.35
1024                  78300.38
2048                  88464.13
4096                 107743.70
8192                 165951.89
16384                314135.68
32768                472855.51
65536                861304.81
131072              1741827.89
262144              3329184.69
524288              7234938.03
1048576            14766560.59
