# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.50
1                      1991.35
2                      1971.05
4                      1986.29
8                      1987.52
16                     2012.47
32                     2032.29
64                     2712.28
128                    3454.50
256                    4985.98
512                    5493.12
1024                   5800.86
2048                   6253.97
4096                   8266.50
8192                  11871.48
16384                 19124.22
32768                 30559.73
65536                 54453.95
131072                94276.28
262144               176709.20
524288               344163.22
1048576              678509.84
