# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.47
1                       183.10
2                       184.08
4                       179.70
8                       184.77
16                      182.44
32                      184.07
64                      192.17
128                     188.86
256                    3333.94
512                    3545.04
1024                   5692.25
2048                   3734.48
4096                   4095.20
8192                   5231.44
16384                 27769.54
32768                 31574.92
65536                 33764.76
131072                49810.50
262144                76952.76
524288               144179.88
1048576              269882.28
