# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.57
1                        82.22
2                        83.03
4                        84.81
8                        85.02
16                       86.87
32                       94.04
64                      107.93
128                    1233.42
256                    2148.07
512                    3037.67
1024                   3093.18
2048                   2519.58
4096                   2989.82
8192                   4106.62
16384                  6506.98
32768                 10713.83
65536                 19134.66
131072                36141.14
262144                69905.54
524288               136889.52
1048576              270682.13
