# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.61
1                      6446.55
2                      6508.66
4                      6709.34
8                      6690.26
16                     6940.32
32                     9804.39
64                    10947.04
128                   14879.71
256                   18257.32
512                   47950.90
1024                  64651.56
2048                  76020.29
4096                  88494.37
8192                 146668.82
16384                269374.84
32768                442407.77
65536                782633.97
131072              1609386.61
262144              3404152.48
524288              7137960.73
1048576            14295762.38
