# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.75
1                       186.42
2                       183.10
4                       187.41
8                       152.08
16                      149.72
32                      223.62
64                     1019.39
128                    2111.94
256                    3965.68
512                    4210.94
1024                   4332.25
2048                   4204.57
4096                   5511.94
8192                   8227.72
16384                 13404.05
32768                 23275.29
65536                 43094.82
131072                82460.54
262144               160537.27
524288               316264.31
1048576              628512.77
