# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.61
1                      2968.69
2                      2912.98
4                      2904.70
8                      2876.18
16                     2948.52
32                     3040.06
64                     3628.94
128                    4643.66
256                    6824.94
512                    8119.77
1024                   9826.15
2048                  12440.43
4096                  69295.35
8192                  88572.53
16384                164062.76
32768                236015.84
65536                414048.28
131072               857686.30
262144              1625240.16
524288              3227427.25
1048576             6480805.47
