# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         6.06
1                      7218.51
2                      6688.63
4                      7221.64
8                      5965.97
16                     7550.53
32                     8400.99
64                     7889.94
128                    9556.32
256                    5800.20
512                    6556.64
1024                   5918.31
2048                   5944.34
4096                   5550.71
8192                   7541.70
16384                  5474.71
32768                  9332.98
65536                 17511.62
131072                34234.87
262144                66593.44
524288               132231.57
1048576              261107.61
