# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.76
1                      2444.12
2                      2804.07
4                      2801.35
8                      2806.15
16                     2836.80
32                     2871.48
64                     3989.02
128                    4970.68
256                    6709.66
512                    7031.05
1024                   7639.77
2048                   8853.81
4096                  13087.49
8192                  30385.59
16384                 51951.99
32768                 78927.46
65536                139151.97
131072               285802.56
262144               543454.28
524288              1042439.75
1048576             2095421.45
