# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.47
1                       231.52
2                       225.05
4                       226.36
8                       227.94
16                      224.97
32                      232.07
64                      241.77
128                     240.14
256                    3599.80
512                    3726.44
1024                   5885.02
2048                   3878.38
4096                   4307.35
8192                   5401.67
16384                 43398.79
32768                 57460.44
65536                 59461.21
131072                77632.62
262144               126323.95
524288               204430.15
1048576              363005.03
