# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        16.78
1                        17.12
2                        17.31
4                        17.06
8                        17.52
16                       18.25
32                       17.75
64                       17.72
128                      17.80
256                      18.68
512                      20.56
1024                     21.83
2048                     26.09
4096                     36.65
8192                     58.34
16384                   123.12
32768                   226.86
65536                   440.66
131072                  814.11
262144                 1518.01
524288                 2873.88
1048576                5586.16
2097152               11024.00
4194304               21872.21
