# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       506.46
1                       506.11
2                       507.90
4                       505.43
8                       508.90
16                      506.44
32                      516.32
64                      521.29
128                     530.72
256                     827.08
512                    1256.19
1024                   1609.93
2048                   1013.75
4096                   1062.55
8192                   1430.71
16384                  2245.64
32768                  3822.08
65536                  6578.70
131072                12337.95
262144                23591.33
524288                45830.88
1048576               90507.72
2097152              179527.51
4194304              357882.53
