# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.85
1                      7220.48
2                      6920.38
4                      6943.77
8                      6868.45
16                     7399.86
32                    10093.03
64                    11127.47
128                   15562.01
256                   18344.51
512                   46910.02
1024                  63525.75
2048                  73535.46
4096                  83784.11
8192                 147614.96
16384                270305.89
32768                416021.25
65536                789825.71
131072              1600170.94
262144              3380725.05
524288              7111449.82
1048576            14254832.91
