# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        34.82
1                     30397.32
2                     30636.20
4                     30357.77
8                     30890.78
16                    30705.23
32                    30730.99
64                    31660.59
128                   31296.74
256                   52592.92
512                   56798.33
1024                  76769.23
2048                  88577.58
4096                 105538.94
8192                 167589.78
16384                317405.10
32768                473745.41
65536                904390.37
131072              1704610.29
262144              3561094.48
524288              7577765.55
1048576            15922488.01
