# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        31.45
1                     26567.57
2                     26343.36
4                     26115.11
8                     26225.11
16                    26817.92
32                    26583.65
64                    26860.77
128                   27136.71
256                   40246.83
512                   49326.60
1024                  66279.56
2048                  76226.41
4096                  84822.05
8192                 151767.89
16384                271434.81
32768                418030.15
65536                768082.68
131072              1470787.79
262144              3090123.72
524288              6561430.03
1048576            13825019.89
