# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        16.66
1                        17.49
2                        18.17
4                        17.09
8                        17.10
16                       17.07
32                       17.34
64                       18.05
128                      17.85
256                      18.97
512                      20.10
1024                     22.93
2048                     26.08
4096                     35.70
8192                     58.32
16384                   135.07
32768                   231.25
65536                   442.93
131072                  824.26
262144                 1526.68
524288                 2904.86
1048576                5657.92
2097152               11162.72
4194304               22176.45
