# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.49
1                       211.60
2                       215.67
4                       208.00
8                       217.97
16                      212.94
32                      217.92
64                      229.65
128                     227.48
256                    3837.81
512                    4008.28
1024                   6228.40
2048                   4224.25
4096                   4622.26
8192                   5672.54
16384                 58167.33
32768                 85408.42
65536                 95273.51
131072               124587.98
262144               183792.87
524288               284940.89
1048576              472504.92
