# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.95
1                     25064.95
2                     26525.44
4                     26765.42
8                     28680.24
16                    29237.28
32                    29707.32
64                    26516.77
128                   25807.20
256                   27061.01
512                   26467.63
1024                  25483.35
2048                  39687.92
4096                  45698.90
8192                  53254.06
16384                 25154.28
32768                 25395.86
65536                 49824.58
131072               112845.90
262144               215419.23
524288               417832.45
1048576              951072.31
