# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.91
1                       922.93
2                       940.78
4                       952.73
8                       958.09
16                      974.95
32                      996.78
64                     1598.53
128                    2969.47
256                    5008.80
512                    5607.24
1024                   6654.37
2048                   8526.55
4096                  12867.86
8192                  22624.78
16384                 43519.31
32768                 85883.54
65536                164149.30
131072               327735.70
262144               667920.22
524288              1361792.95
1048576             2742674.41
