# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.57
1                      2927.68
2                      2889.15
4                      2943.68
8                      2860.06
16                     2923.10
32                     3015.60
64                     3765.26
128                    4746.17
256                    6733.20
512                    8149.58
1024                   9873.67
2048                  12358.79
4096                  61062.39
8192                  81616.79
16384                146505.18
32768                219817.95
65536                411655.99
131072               848690.18
262144              1614242.74
524288              3217461.11
1048576             6456894.96
