# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.31
1                      1565.95
2                      1546.15
4                      1536.45
8                      1542.92
16                     1522.73
32                     1578.95
64                     1598.23
128                    1536.39
256                    2507.18
512                    3267.07
1024                   3357.75
2048                   3151.47
4096                   3589.38
8192                   4410.81
16384                  6355.42
32768                 11099.66
65536                 24025.80
131072                42255.89
262144                77998.99
524288               150307.31
1048576              295914.41
