# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       661.49
1                       666.95
2                       664.41
4                       664.94
8                       665.27
16                      666.40
32                      670.50
64                      681.98
128                     706.98
256                    1046.79
512                    1457.54
1024                   1758.65
2048                   1294.00
4096                   1494.48
8192                   2158.61
16384                  4342.56
32768                  6607.63
65536                 12706.20
131072                32653.91
262144                60431.01
524288               105570.62
1048576              210761.79
2097152              392957.68
4194304              823103.27
