# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.94
1                      3417.30
2                      3429.72
4                      3499.22
8                      3465.17
16                     3630.77
32                     3623.68
64                     4988.01
128                    6435.09
256                    8772.40
512                   10677.10
1024                  13271.27
2048                  16886.17
4096                  26573.58
8192                  43444.03
16384                276886.92
32768                423751.79
65536                757113.25
131072              1504424.97
262144              2988005.16
524288              6036605.15
1048576            12070021.42
