# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.88
1                      3149.33
2                      3008.08
4                      3003.49
8                      3150.33
16                     3206.32
32                     3221.98
64                     5548.64
128                    7804.83
256                    8637.57
512                    8896.75
1024                  12799.80
2048                  13593.76
4096                  16251.99
8192                  30040.02
16384                 75578.14
32768                101922.11
65536                154956.76
131072               331864.11
262144               725892.45
524288              1550990.06
1048576             3176284.64
