# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        18.12
1                        19.45
2                        19.02
4                        20.29
8                        19.19
16                       19.32
32                       20.18
64                       20.79
128                      20.78
256                      22.58
512                      25.33
1024                     27.43
2048                     35.96
4096                     53.26
8192                     97.96
16384                   224.72
32768                   408.44
65536                   783.05
131072                 1440.76
262144                 2732.26
524288                 5278.71
1048576               10384.44
2097152               20679.69
4194304               41301.26
