# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.52
1                      4294.47
2                      4427.16
4                      4284.24
8                      4361.00
16                     4501.96
32                     6825.34
64                     7379.76
128                   10324.48
256                   12105.39
512                   23133.67
1024                  35237.81
2048                  39688.22
4096                  46530.46
8192                  78527.96
16384                157281.76
32768                312838.79
65536                515945.03
131072              1120909.90
262144              2279069.50
524288              4749681.46
1048576             9249628.43
