# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.55
1                      2815.89
2                      2912.12
4                      2743.01
8                      2917.02
16                     2973.52
32                     5148.21
64                     6821.95
128                    8159.00
256                    7143.91
512                   12043.38
1024                  18373.10
2048                  20315.36
4096                  23415.86
8192                  32828.37
16384                 78827.22
32768                134447.00
65536                227050.27
131072               437714.06
262144               979960.07
524288              1954611.67
1048576             3786240.47
