# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       583.07
1                       586.73
2                       581.48
4                       581.46
8                       580.87
16                      582.98
32                      586.47
64                      593.96
128                     621.60
256                     985.23
512                    1313.11
1024                   1629.54
2048                   1099.95
4096                   1206.26
8192                   1632.10
16384                  2846.83
32768                  4249.12
65536                  7810.23
131072                18167.23
262144                39329.93
524288                75638.76
1048576              150531.11
2097152              293223.17
4194304              571301.25
