# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.46
1                      6297.10
2                      5803.27
4                      5824.34
8                      5988.09
16                     8368.80
32                     9561.33
64                    15695.72
128                   13894.59
256                   17151.88
512                   57780.36
1024                  83695.85
2048                  88886.30
4096                 106969.54
8192                 164808.11
16384                310239.22
32768                469129.08
65536                915670.88
131072              1789771.04
262144              3717163.46
524288              7433837.59
1048576            14446130.33
