# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.45
1                      6044.26
2                      5925.16
4                      5941.34
8                      6001.48
16                     9990.62
32                     9766.99
64                    17722.90
128                   15008.34
256                   22030.38
512                   57167.92
1024                  76973.28
2048                  89020.44
4096                 106820.18
8192                 165750.07
16384                322466.37
32768                462749.29
65536                900391.65
131072              1785286.25
262144              3673303.39
524288              7396468.82
1048576            14464102.18
