# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        17.73
1                      1593.53
2                      1555.24
4                      1539.92
8                      1556.03
16                     1547.22
32                     1517.91
64                     1566.47
128                    1573.08
256                    2304.10
512                    3465.77
1024                   3543.99
2048                   3364.49
4096                   3750.28
8192                   4356.72
16384                  6595.91
32768                 11268.57
65536                 20879.65
131072                45294.13
262144                76372.49
524288               155654.44
1048576              305155.39
