# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.48
1                      2923.89
2                      2916.78
4                      2790.65
8                      2749.41
16                     3002.96
32                     5265.93
64                     6759.32
128                    8280.39
256                    7215.55
512                   12876.61
1024                  19511.19
2048                  20397.02
4096                  25777.56
8192                  34442.73
16384                 75163.54
32768                143600.13
65536                228448.52
131072               433220.29
262144               983220.84
524288              1930126.36
1048576             3735317.76
