Iniciando testes de Rede...

Iniciando bateria: 20... 

Iniciando rodada de testes: 1 bateria: 20

Iniciando teste osu_allgather_ seg 04 set 2023 16:06:12 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
524288                86075.94
1048576              153488.18
2097152              301277.64
4194304              595997.77
Iniciando teste osu_scatter_ ter 05 set 2023 01:29:38 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         6.03
1                       359.99
2                       345.55
4                       361.26
8                       378.39
16                      371.81
32                      384.15
64                     1320.78
128                    2483.91
256                    4392.58
512                    4793.13
1024                   5104.13
2048                   5800.21
4096                   9059.02
8192                  14037.80
16384                 24894.44
32768                 50450.16
65536                 99896.50
131072               200696.66
262144               389330.79
524288               773737.37
1048576             1534635.16
Rodada 2 bateria: 20 
Iniciando rodada de testes: 3 bateria: 20

Iniciando teste osu_allgather_ ter 05 set 2023 01:44:32 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.57
1                      3646.13
2                      3617.16
4                      3533.68
8                      3662.85
16                     3616.70
32                     4368.50
64                     5520.41
128                    7204.94
256                    9486.46
512                   10432.39
1024                  13507.34
2048                  17331.14
4096                  52917.05
8192                  71727.81
16384                119760.83
32768                185943.02
65536                342968.28
131072               727092.13
262144              1375372.20
524288              2666829.41
1048576             5353094.54
Iniciando teste osu_alltoall_ ter 05 set 2023 02:42:58 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.23
1                      4479.81
2                      4374.26
4                      4855.78
8                      4538.69
16                     4647.17
32                     7574.21
64                     9271.52
128                   10842.48
256                   12431.88
512                   19360.66
1024                  29186.03
2048                  30941.55
4096                  37019.65
8192                  95228.87
16384                152611.65
32768                254955.82
65536                392264.72
131072               841699.52
262144              1813339.20
524288              3892413.83
1048576             7960186.43
Iniciando teste osu_alltoallv_ ter 05 set 2023 03:16:31 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        27.07
1                     11735.85
2                     12107.50
4                     14937.56
8                     14067.14
16                    11483.72
32                    11684.47
64                    11918.02
128                   11350.82
256                   17859.42
512                   18648.21
1024                  28248.57
2048                  30930.22
4096                  36315.51
8192                  93957.63
16384                162681.00
32768                276415.93
65536                401052.46
131072               732620.27
262144              1463886.00
524288              3105183.25
1048576             6879522.39
Iniciando teste osu_barrier_ ter 05 set 2023 03:46:55 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      2344.97
Iniciando teste osu_bcast_ ter 05 set 2023 03:46:58 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.51
1                       236.96
2                       195.84
4                       193.79
8                       205.80
16                      202.13
32                      203.76
64                      215.32
128                     211.26
256                    3601.54
512                    3746.19
1024                   5983.99
2048                   4132.76
4096                   4555.75
8192                   5421.67
16384                 33654.59
32768                 50454.06
65536                 58457.24
131072                73584.50
262144               113199.71
524288               186117.85
1048576              347826.38
Iniciando teste osu_gather_ ter 05 set 2023 03:54:20 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         6.09
1                     26053.59
2                     25266.12
4                     26232.56
8                     25039.43
16                    28742.39
32                    28340.24
64                    31749.08
128                   26335.73
256                   28491.88
512                   25183.93
1024                  24574.25
2048                  32816.25
4096                  42314.26
8192                  47432.68
16384                 22061.11
32768                 25166.79
65536                 43983.72
131072                47726.64
262144               127224.98
524288               355842.42
1048576              700646.05
Iniciando teste osu_multi_lat_ ter 05 set 2023 05:13:53 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       621.60
1                       624.09
2                       624.11
4                       622.32
8                       631.99
16                      630.77
32                      634.12
64                      636.89
128                     658.65
256                    1025.87
512                    1393.50
1024                   1719.49
2048                   1203.25
4096                   1333.08
8192                   1810.57
16384                  3607.57
32768                  5268.79
65536                  9260.01
131072                25090.84
262144                50384.66
524288                88435.60
1048576              156109.88
2097152              297528.19
4194304              622057.68
Iniciando teste osu_scatter_ ter 05 set 2023 06:14:18 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.57
1                       330.23
2                       342.12
4                       345.22
8                       344.52
16                      363.58
32                      373.93
64                     1347.05
128                    2463.83
256                    4407.99
512                    4755.60
1024                   5047.33
2048                   5755.45
4096                   8754.82
8192                  13746.28
16384                 25271.35
32768                 50644.95
65536                 98464.92
131072               198208.51
262144               391994.83
524288               771621.30
1048576             1546201.31
Rodada 3 bateria: 20 
Iniciando rodada de testes: 4 bateria: 20

Iniciando teste osu_allgather_ ter 05 set 2023 06:29:08 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.54
1                      3691.41
2                      3614.96
4                      3698.09
8                      3666.56
16                     3708.81
32                     4448.32
64                     5425.10
128                    7518.71
256                    9348.54
512                   10373.76
1024                  12404.47
2048                  16594.54
4096                  57398.87
8192                  76143.98
16384                126084.69
32768                188005.84
65536                350699.71
131072               717125.03
262144              1370692.65
524288              2682182.03
1048576             5363880.12
Iniciando teste osu_alltoall_ ter 05 set 2023 07:28:57 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.53
1                      4449.75
2                      4371.73
4                      4469.38
8                      4595.08
16                     4703.58
32                     7614.57
64                     9382.62
128                   11205.37
256                   12161.10
512                   20566.65
1024                  31042.96
2048                  32837.01
4096                  38553.65
8192                  87011.95
16384                156711.52
32768                251690.66
65536                394280.53
131072               837065.09
262144              1810371.10
524288              3857376.84
1048576             7828562.80
Iniciando teste osu_alltoallv_ ter 05 set 2023 08:02:17 -03

