0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
5.93,28542.36,29301.61,29623.26,31244.41,32089.30,32733.42,27804.33,27734.65,29148.92,32426.15,39590.59,50095.98,54879.74,62451.91,31836.87,41192.04,32010.02,55667.13,122409.92,575447.39,1291013.66
5.95,29436.59,28714.80,29251.28,31158.46,31462.51,33095.38,29965.53,28111.40,31476.31,31143.57,36401.60,49404.82,55237.15,61759.74,27769.47,14545.21,52240.51,164401.73,345768.46,692647.77,571463.40

6.00,30227.02,28874.65,29442.82,31411.08,31332.62,32747.78,27670.74,28373.12,29740.04,30847.69,35050.52,48828.66,56162.91,66373.12,27711.22,42977.04,30253.82,135883.61,354097.77,217845.93,1409416.74
6.13,29757.04,28669.97,29708.56,31699.85,32511.97,32513.26,27676.44,27507.71,30290.10,30456.25,34955.53,48967.52,55414.61,65569.13,21054.22,19820.48,27496.39,61882.70,308494.63,645007.47,697525.43
